disease,cause,symptoms,treatment,prevention
"Cobweb stage: a layer of vegetative mycelium (under wet conditions)
Nectar stage: orange spore structures develop
Pink encrustation stage: cankers will be covered in pinkish fruiting structures
Sunken areas on main stem and branch cankers, bark swelling and splitting symptoms also appear in later stage
Die back of terminal shoot; in severe cases, the plants die too.",,"include a cobweb stage with vegetative mycelium under wet conditions, development of orange spore structures in the nectar stage, pink encrustations, sunken areas on stems, and dieback of terminal shoots.",,
Application of contact fungicide Bordeaux mixture (10%),Bordeaux mixture,,,
Systemic fungicide tridermorph 75 EC @ 5 ml/10 litres of water,Tridermorph,,,
Soil drench with copper oxychloride 50% WP @ 20g in 10 litres water around the tree base,50%,,,
Healthy teak wood (cross section),Teak wood,,,
Healthy teak trunks and Stem canker on teak plants,Stem canker,,,
Plant Diseases in Agroforestry: A Ready Reckoner,Plant Diseases in Agroforestry: A Ready Reckoner,,,
Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 litres of water,Management of plant diseases,,,
Soil drench with copper oxychloride 50% WP @ 20g in 10 litres water around the tree base,"Copper oxychloride is used for soil drenching to protect tree bases from infections, applied at 20g/10 liters of water",,,
Brown discoloration in teak wood,Teak wilt manifests as brown discoloration in the wood,,,
Teak wilt (Fungal and Bacterial),Teak plants are primarily affected by fungal pathogens causing teak wilt,,,
Systemic fungicide tridermorph 75 EC @ 5 m1/10 liters of water,Tridermorph,,,
Healthy teak trunks,Healthy teak trunks appear straight and free from visible signs of disease or damage,,,
Application of contact fungicide Bordeaux mixture (10%),Plant diseases can be managed by applying contact fungicide Bordeaux mixture in a 10% concentration,,,
Healthy teak wood (cross section) vs Brown discoloration in teak wood,"Healthy teak wood is uniformly colored and shows no signs of infection, whereas diseased teak wood shows brown discoloration",,,
Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water,The dual approach includes using a contact fungicide for external fungal issues and a systemic fungicide for internal protection,,,
Application of contact fungicide Bordeaux mixture (10%),A 10% concentration of Bordeaux mixture,,,
Brown discoloration in teak wood,Brown discoloration,,,
Soil drench with copper oxychloride 50% WP @ 20g in 10 liters of water around the tree base,20 grams of copper oxychloride per 10 liters of water,,,
Systemic fungicide tridermorph 75 EC @ 5 ml/10 liters of water,Systemic fungicide tridermorph 75 EC is recommended at 5 ml per 10 liters of water,,,
Management: Application of contact fungicide Bordeaux mixture (10%) and systemic fungicide tridermorph 75 EC @ 5 ml/10 litres of water,,,.,
"Symptoms: - Leaf yellowing, premature leaf-fall, leaf abscission, whole plant wilting, plant collapse followed by death are common symptoms (wilting without leaf yellowing bacterial wilt)","Leaf yellowing, premature leaf-fall, and plant wilting",,,
Symptoms: - Upon splitting the stems of infected saplings show brownish discoloration of vascular tissue spreading in both directions,Brownish discoloration of vascular tissue,,,
"Symptoms: - On the cross sections of tree trunk, black darkening of heartwood and sapwood can be clearly seen",Heartwood and sapwood,,,
Management: - Use disease-free planting material,Disease-free planting material,,,
Management: - Avoid wounding on roots that facilitates pathogen entry,Wounding on roots,,,
Management: - The soil at the site of the infected plants should be drenched with Plantamycin 100 mg (a.i.)/copperoxychloride 50% WP @2g/litre,Drench the soil with Plantamycin 100 mg (a,i,)/copperoxychloride 50% WP @2g/litre,
"Symptoms: - Found on trunk, branches and aerial roots of trees","Trunk, branches, and aerial roots",,,
Symptoms: - Major teak pest of teak in Kerala Nilambur region with total failure of the plantation,Kerala Nilambur region,,,
Management: - Mechanical removal of the parasite by lopping of the infested branches as practiced in Kerala,Lopping of the infested branches,,,
Management: - Tree injection of selective herbicides,Tree injection of selective herbicides,,,
"Symptoms: - Leaf yellowing, premature leaf-fall, leaf abscission, whole plant wilting, plant collapse followed by death are common symptoms (wilting without leaf yellowing bacterial wilt)",,"include leaf yellowing, leaf-fall, abscission, plant wilting, and collapse followed by death.",,
Symptoms: - Upon splitting the stems of infected saplings show brownish discoloration of vascular tissue spreading in both directions,The brownish discoloration of vascular tissue spreads in both directions upon splitting the stems of infected saplings,,,
"Symptoms: - On the cross sections of tree trunk, black darkening of heartwood and sapwood can be clearly seen","On the cross sections of an infected tree trunk, black darkening of heartwood and sapwood can be clearly observed",,,
Management: - Avoid wounding on roots that facilitates pathogen entry,"To prevent pathogen entry, wounding on roots should be avoided",,,
Management: - The soil at the site of the infected plants should be drenched with Plantamycin 100 mg (a.i.)/copperoxychloride 50% WP @2g/litre,The soil should be drenched with a solution of Plantamycin 100 mg (a,i,)/copperoxychloride 50% WP at the rate of 2 grams per litre,
"Symptoms: - Found on trunk, branches and aerial roots of trees","Phanerogamic parasites are typically found on the trunk, branches, and aerial roots of trees",,,
Symptoms: - Major teak pest of teak in Kerala Nilambur region with total failure of the plantation,"The Kerala Nilambur region reports major infestation of teak by Phanerogamic parasites, leading to the total failure of the plantation",,,
Management: - Mechanical removal of the parasite by lopping of the infested branches as practiced in Kerala,"In Kerala, Phanerogamic parasites are removed mechanically by lopping off the infested branches",,,
Management: - Tree injection of selective herbicides,Selective herbicides are managed through tree injection to control Phanerogamic parasites,,,
Populus deltoides also known as eastern cottonwood tree is a large and dioecious tree that grows up to 20-60 metres.,Eastern cottonwood tree,,,
Family : Salicaceae,Salicaceae,,,
Populus deltoides also known as eastern cottonwood tree is a large and dioecious tree that grows up to 20-60 metres.,20-60 metres,,,
Genus : Populus,Populus,,,
Populus deltoides is the most popular exotic species among other 13 poplar species present in India.,Populus deltoides,,,
Clade : Rosids,Rosids,,,
Order : Malpighiales,Malpighiales,,,
Species : deltoides,Deltoides,,,
Indian Council of Forestry Research and Education (ICFRE) emphasized poplar cultivation and it has extended poplar through agroforestry to Vaishali District of Bihar.,Populus deltoides extends poplar cultivation through agroforestry to Vaishali District,,,
"Wood produced from poplar trees can be used for manufacturing quality plywood, match sticks and paper.","Wood from poplar trees is used for plywood, match sticks, and paper",,,
"Annual returns from Populus deltoides cultivation have been estimated to be 250,000 Indian rupees per hectare per year.","250,000 Indian rupees per hectare per year",,,
Poplars are the most preferred tree species due to its wood quality and its cultivation largely benefit the growers with high net returns.,Poplar cultivation benefits growers due to high net returns from its wood quality,,,
"Poplar is native to Northern America and distributed throughout the central, eastern, and western United States also present in Canada and Mexico.",Northern America,,,
"Poplar cultivation certainly reduced the pressure on natural forests for wood with all its ecological and environmental benefits, besides generating employment opportunities.",Populus deltoides cultivation reduces pressure on natural forests and generates employment opportunities,,,
Indian Council of Forestry Research and Education (ICFRE) emphasized poplar cultivation.,Indian Council of Forestry Research and Education (ICFRE),,,
Poplar cultivation certainly reduced the pressure on natural forests for wood with all its ecological and environmental benefits.,Populus deltoides cultivation reduces pressure on natural forests and provides ecological benefits,,,
Populus deltoides is the most popular exotic species among other 13 poplar species present in India.,It is the most popular exotic species among 13 poplar species in India,,,
"Poplar is native to Northern America and distributed throughout the central, eastern, and western United States also present in Canada and Mexico.",Populus deltoides is present in Canada and Mexico outside Northern America,,,
"However, there are six species of poplars, viz., Populus ciliata, P. alba, P. euphratica, P. gamblei, P. jacquemontii var. glauca and P. rothundifolia are believed to be indigenous to India.",Six species are indigenous to India,,,
"Black poplar got to the Indian sub-continent and so far, 13 of its species have been introduced in various parts of the country.",Introduction of poplar species to the Indian sub-continent,,,
"root rot caused by Rosellinia necatrix Armillaria spp. and Botryodiplodia spp.; bark necrosis caused by Dicosporium populeum and cankers incited by Cytospora spp., Hypoxylon spp.",Root rot and bark necrosis,,,
"Bacterial canker caused by Pseudomonas syringae/facians and Xanthomonas populi, and rusts caused by Melampsora species are other important, but lesser-known diseases on poplar in India","Pseudomonas syringae/facians, Xanthomonas populi",,,
"Intensive cultivation of popular hybrids in the modern times made to succumb the poplar to various pest and diseases. Among all, fungal diseases are of major concern in poplar cultivation.",Fungal diseases are the most prominent,,,
"Leaf spots and blights at nursery level, dark brown to light-brown irregular spots with or without grey center and yellow halo on the leaves. The spots coalesce to form large necrotic areas and give blighted appearance. The spots may further get extend to the leaf petioles, stem, and floral parts.","Leaf spots are characterized by irregular brown spots with a grey center and yellow halo, forming necrotic areas that may extend to stems and floral parts",,,
"Intensive cultivation of popular hybrids in the modern times made to succumb the poplar to various pest and diseases. Among all, fungal diseases are of major concern in poplar cultivation.",Fungal diseases,,,
